,Date,Confirmed_1,Discharges_1,LocalTransmission_1
1,1/31/2020,0.0,0.0,0.0
2,2/1/2020,-1.0,0.0,0.0
3,2/2/2020,-2.0,0.0,0.0
4,2/3/2020,0.0,0.0,0.0
5,2/4/2020,6.0,1.0,4.0
6,2/5/2020,-2.0,-1.0,-1.0
7,2/6/2020,-2.0,0.0,-1.0
8,2/7/2020,1.0,1.0,1.0
9,2/8/2020,4.0,-1.0,4.0
10,2/9/2020,-4.0,4.0,-4.0
11,2/10/2020,-1.0,-3.0,-2.0
12,2/11/2020,0.0,1.0,1.0
13,2/12/2020,1.0,4.0,1.0
14,2/13/2020,5.0,-6.0,5.0
15,2/14/2020,1.0,2.0,1.0
16,2/15/2020,-4.0,-1.0,-4.0
17,2/16/2020,-2.0,0.0,-2.0
18,2/17/2020,-1.0,4.0,-2.0
19,2/18/2020,2.0,0.0,3.0
20,2/19/2020,-1.0,0.0,-1.0
21,2/20/2020,-2.0,-2.0,-2.0
22,2/21/2020,0.0,7.0,0.0
23,2/22/2020,2.0,-8.0,1.0
24,2/23/2020,-3.0,0.0,-2.0
25,2/24/2020,1.0,0.0,1.0
26,2/25/2020,0.0,3.0,0.0
27,2/26/2020,1.0,-1.0,1.0
28,2/27/2020,1.0,0.0,1.0
29,2/28/2020,-1.0,-1.0,-1.0
30,2/29/2020,2.0,0.0,2.0
31,3/1/2020,0.0,-1.0,0.0
32,3/2/2020,-2.0,2.0,-2.0
33,3/3/2020,0.0,-4.0,0.0
34,3/4/2020,0.0,1.0,0.0
35,3/5/2020,3.0,1.0,2.0
36,3/6/2020,8.0,-1.0,7.0
37,3/7/2020,-5.0,7.0,-5.0
38,3/8/2020,4.0,-8.0,5.0
39,3/9/2020,-2.0,3.0,-4.0
40,3/10/2020,-4.0,-3.0,-1.0
41,3/11/2020,6.0,3.0,-2.0
42,3/12/2020,-3.0,-3.0,0.0
43,3/13/2020,4.0,1.0,0.0
44,3/14/2020,-1.0,7.0,-1.0
45,3/15/2020,2.0,-8.0,2.0
46,3/16/2020,3.0,4.0,1.0
47,3/17/2020,6.0,1.0,0.0
48,3/18/2020,24.0,-2.0,8.0
49,3/19/2020,-15.0,4.0,-6.0
50,3/20/2020,8.0,0.0,2.0
51,3/21/2020,7.0,2.0,-2.0
52,3/22/2020,-24.0,-5.0,-3.0
53,3/23/2020,31.0,4.0,1.0
54,3/24/2020,-5.0,-5.0,11.0
55,3/25/2020,24.0,2.0,18.0
56,3/26/2020,-21.0,7.0,-11.0
57,3/27/2020,-3.0,-1.0,3.0
58,3/28/2020,21.0,4.0,2.0
59,3/29/2020,-28.0,-1.0,-11.0
60,3/30/2020,-7.0,2.0,8.0
61,3/31/2020,12.0,-4.0,5.0
62,4/1/2020,27.0,-7.0,23.0
63,4/2/2020,-25.0,16.0,-13.0
64,4/3/2020,16.0,-5.0,15.0
65,4/4/2020,10.0,-1.0,13.0
66,4/5/2020,45.0,8.0,47.0
67,4/6/2020,-54.0,1.0,-51.0
68,4/7/2020,40.0,9.0,38.0
69,4/8/2020,36.0,-4.0,37.0
70,4/9/2020,145.0,25.0,144.0
71,4/10/2020,-89.0,-22.0,-86.0
72,4/11/2020,-7.0,3.0,-7.0
73,4/12/2020,42.0,-3.0,42.0
74,4/13/2020,153.0,-6.0,153.0
75,4/14/2020,-52.0,-1.0,-52.0
76,4/15/2020,113.0,16.0,113.0
77,4/16/2020,281.0,-10.0,281.0
78,4/17/2020,-105.0,-6.0,-106.0
79,4/18/2020,319.0,13.0,320.0
80,4/19/2020,-346.0,-12.0,-346.0
81,4/20/2020,830.0,7.0,830.0
82,4/21/2020,-315.0,6.0,-315.0
83,4/22/2020,-95.0,18.0,-95.0
84,4/23/2020,21.0,-21.0,21.0
85,4/24/2020,-140.0,2.0,-140.0
86,4/25/2020,-279.0,8.0,-279.0
87,4/26/2020,313.0,12.0,311.0
88,4/27/2020,-132.0,-23.0,-130.0
89,4/28/2020,-271.0,-2.0,-271.0
90,4/29/2020,162.0,29.0,162.0
91,4/30/2020,-162.0,-6.0,-162.0
92,5/1/2020,404.0,-32.0,404.0
93,5/2/2020,-485.0,55.0,-485.0
94,5/3/2020,210.0,-18.0,210.0
95,5/4/2020,-84.0,-12.0,-84.0
96,5/5/2020,59.0,13.0,59.0
97,5/6/2020,156.0,53.0,156.0
98,5/7/2020,-47.0,-37.0,-47.0
99,5/8/2020,27.0,250.0,27.0
100,5/9/2020,-15.0,-72.0,-15.0
101,5/10/2020,123.0,169.0,122.0
102,5/11/2020,-390.0,79.0,-389.0
103,5/12/2020,398.0,122.0,398.0
104,5/13/2020,-209.0,332.0,-209.0
105,5/14/2020,77.0,206.0,77.0
